tiempo_s,cx_px,cy_px,x_m,y_m,vx_ms,vy_ms,v_total_ms
0.0,14.793372319688109,67.77990430622009,0.015691076053800667,0.5375033898976153,0.4234501982802627,-0.08562923227818234,0.4320213372556322
0.016534391534391537,21.719036079698437,68.86833602584814,0.028049374193646472,0.535561169749173,1.0714095447154857,-0.14930171687739255,1.0817621805045605
0.033068783068783074,34.64867256637168,70.54675516224188,0.0511212858658207,0.5325661638103999,1.3040817269823062,-0.3232990440603958,1.343559236706562
0.04960317460317461,45.88620386643234,74.85969537199765,0.07117376992718835,0.5248700637947948,1.2107228152380611,-0.5466633087097874,1.3284165417622247
0.06613756613756615,57.08571835397978,80.67748825288338,0.09115841599935448,0.5144886734430127,1.20677019918537,-0.7040161921186354,1.3971159981931067
0.08267195767195769,68.25,87.90648307515777,0.1110801918579215,0.501589105060713,1.2143527194794987,-0.8762511017194872,1.4974874024751825
0.09920634920634921,79.59003331884688,96.916123424598,0.1313155826488088,0.48551211584646886,1.2097654542840168,-1.0627586372888638,1.610275869381112
0.11574074074074076,90.66930402930403,107.60146520146519,0.15108566322974745,0.466444970229732,1.1911535444045995,-1.2483954638939756,1.7254964504798886
0.1322751322751323,101.6644225014961,120.05131657690005,0.17070558081033657,0.44422919706690617,1.1750030762608132,-1.4241840954151834,1.846329484912143
0.14880952380952384,112.44439366240097,133.99436319317488,0.18994158506376907,0.41934893532843626,1.152389746060881,-1.5740710012243435,1.9508207615569577
0.16534391534391538,123.02044319600498,149.22191011235955,0.20881370733351387,0.39217658459255617,1.141748578583961,-1.7008738276948658,2.0485510963693043
0.18187830687830692,133.6032128514056,165.514859437751,0.2276978211280535,0.363103107693024,1.1433564125473896,-1.846510033684507,2.1718340614814005
0.19841269841269843,144.2090586718246,183.4413281753707,0.24662311251034552,0.3311147448543119,1.1520097367448379,-2.014821700269709,2.3209120873985363
0.21494708994708997,154.95219123505976,202.85341965471446,0.2657933812055944,0.29647540596452837,1.1376180960115931,-2.180500276694313,2.4594219623799853
0.2314814814814815,165.29133199464525,223.85023427041497,0.28424275854247494,0.2590082542228862,1.114549716091736,-2.332093615029347,2.584740160809364
0.24801587301587305,175.6069626639758,246.07164480322905,0.3026501839864058,0.21935590811302877,1.1148780381744947,-2.4700616180483994,2.710010597204315
0.2645502645502646,185.95218786957255,269.62527453961815,0.32111041853501776,0.17732632240911636,1.1048813741134529,-2.644690862786233,2.8662087520918327
0.2810846560846561,196.08256093374527,295.0829042224511,0.3391872664637025,0.13189919968755814,1.078227516792619,-2.854202516898903,3.051073021977811
0.29761904761904767,205.93383838383838,322.51919191919194,0.35676609038662555,0.08294131854341186,1.0521126912327496,-3.0242150870689755,3.202002187367871
0.3141534391534392,215.58025299819286,351.12748480368,0.37397935281399186,0.03189208701993327,0.9940692342501175,-3.1724137123427067,3.324512355931716
0.33068783068783075,224.35587243176937,381.3101809260963,0.389638750249394,-0.02196654231448194,0.9000914795361197,-3.342326091948143,3.461402660259402
